Survived,Pclass,Sex,Age,Parch,Fare,Embarked,Ticket_type,Words_Count,Has_Cabin,FamilySize,IsAlone,Title
0,3,1,1,0,0,0,124,4,0,2,0,1
1,1,0,2,0,3,1,137,7,1,2,0,3
1,3,0,1,0,1,0,148,3,0,1,1,2
1,1,0,2,0,3,0,3,7,1,2,0,3
0,3,1,2,0,1,0,97,4,0,1,1,1
0,3,1,2,0,1,2,72,3,0,1,1,1
0,1,1,3,0,3,0,18,4,1,1,1,1
0,3,1,0,1,2,0,83,4,0,5,0,4
1,3,0,1,2,1,0,81,7,0,3,0,3
1,2,0,0,0,2,1,38,5,0,2,0,3
1,3,0,0,1,2,0,138,4,1,3,0,2
1,1,0,3,0,2,0,3,3,1,1,1,2
0,3,1,1,0,1,0,124,4,0,1,1,1
0,3,1,2,5,3,0,81,4,0,7,0,1
0,3,0,0,0,0,0,84,5,0,1,1,2
1,2,0,3,0,2,0,44,5,0,1,1,3
0,3,1,0,1,2,2,100,3,0,6,0,4
1,2,1,1,0,1,0,43,4,0,1,1,1
0,3,0,1,0,2,0,79,7,0,2,0,3
1,3,0,1,0,0,1,48,3,0,1,1,3
0,2,1,2,0,2,0,39,4,0,1,1,1
1,2,1,2,0,1,0,44,3,1,1,1,1
1,3,0,0,0,1,2,72,4,0,1,1,2
1,1,1,1,0,3,0,3,4,1,1,1,1
0,3,0,0,1,2,0,83,4,0,5,0,2
1,3,0,2,5,3,0,81,8,0,7,0,3
0,3,1,2,0,0,1,47,4,0,1,1,1
0,1,1,1,2,3,0,21,4,1,6,0,1
1,3,0,1,0,0,2,72,4,0,1,1,2
0,3,1,1,0,0,0,83,3,0,1,1,1
0,1,1,2,0,2,1,137,4,0,1,1,5
1,1,0,1,0,3,1,137,6,1,2,0,3
1,3,0,2,0,0,2,74,4,0,1,1,2
0,2,1,4,0,1,0,130,4,0,1,1,1
0,1,1,1,0,3,1,137,4,0,2,0,1
0,1,1,2,0,3,0,3,4,0,2,0,1
1,3,1,1,0,0,1,51,3,0,1,1,1
0,3,1,1,0,1,0,121,4,0,1,1,1
0,3,0,1,0,2,0,79,5,0,3,0,2
1,3,0,0,0,1,1,49,3,0,2,0,2
0,3,0,2,0,1,0,116,6,0,2,0,3
0,2,0,1,0,2,0,4,8,0,2,0,3
0,3,1,1,0,0,1,83,3,0,1,1,1
1,2,0,0,2,3,1,144,6,0,4,0,2
1,3,0,1,0,0,2,72,4,0,1,1,2
0,3,1,2,0,1,0,139,4,0,1,1,1
0,3,1,2,0,2,2,94,3,0,2,0,1
1,3,0,1,0,0,2,14,3,0,1,1,2
0,3,1,2,0,2,1,50,3,0,3,0,1
0,3,0,1,0,2,0,83,5,0,2,0,3
0,3,1,0,1,3,0,66,4,0,6,0,4
0,3,1,1,0,0,0,123,4,0,1,1,1
1,1,0,3,0,3,1,137,6,1,2,0,3
1,2,0,1,0,2,0,64,6,0,2,0,3
0,1,1,4,1,3,1,3,4,1,2,0,1
1,1,1,2,0,3,0,21,3,1,1,1,1
1,2,0,1,0,1,0,130,3,0,1,1,2
0,3,1,1,0,0,1,53,3,0,1,1,1
1,2,0,0,2,2,0,130,4,0,4,0,2
0,3,1,0,2,3,0,131,4,0,8,0,4
0,3,1,1,0,0,1,50,3,0,1,1,1
1,1,0,2,0,3,0,3,3,1,1,1,2
0,1,1,2,0,3,0,93,4,1,2,0,1
0,3,1,0,2,2,0,81,3,0,6,0,4
0,1,1,1,0,2,1,137,4,0,1,1,1
1,3,1,2,1,2,1,50,3,0,3,0,4
1,2,0,1,0,1,0,130,4,1,1,1,3
0,3,1,1,0,1,0,141,4,0,1,1,1
1,3,0,1,2,1,0,66,4,0,7,0,2
0,3,1,1,0,1,0,69,3,0,3,0,1
0,2,1,1,0,1,0,130,4,0,1,1,1
0,3,0,0,2,3,0,131,4,0,8,0,2
0,2,1,1,0,3,0,140,4,0,1,1,1
0,3,1,1,0,2,1,52,3,0,2,0,1
1,3,1,1,0,3,0,16,3,0,1,1,1
0,3,1,1,0,0,0,82,4,1,1,1,1
0,3,1,2,0,0,0,83,3,0,1,1,1
0,3,1,2,0,1,0,98,4,0,1,1,1
1,2,1,0,2,2,0,44,4,0,3,0,4
1,3,0,1,0,1,0,89,3,0,1,1,2
0,3,1,1,0,1,0,79,3,0,1,1,1
1,3,1,1,0,1,0,79,4,0,1,1,1
1,3,0,1,0,0,2,72,4,0,1,1,2
0,1,1,1,0,3,0,3,4,0,1,1,1
1,2,0,1,0,1,0,146,3,0,1,1,2
1,3,0,2,0,2,0,66,7,0,4,0,3
0,3,1,0,3,3,0,150,4,0,5,0,1
0,3,1,1,0,1,0,147,4,0,1,1,1
1,1,0,1,2,3,0,21,4,1,6,0,2
0,3,1,1,0,1,0,78,3,0,1,1,1
0,3,1,1,0,1,0,78,3,0,1,1,1
0,3,1,1,0,0,0,81,4,0,1,1,1
0,1,1,2,0,3,0,151,4,1,2,0,1
0,3,1,1,2,2,0,130,4,0,4,0,1
0,3,1,3,0,0,0,89,3,0,1,1,1
0,3,1,0,0,1,0,98,4,0,1,1,1
