PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,FamilySize,Singleton,SmallFamily,LargeFamily,Embarked_C,Embarked_Q,Embarked_S,Cabin_A,Cabin_B,Cabin_C,Cabin_D,Cabin_E,Cabin_F,Cabin_G,Cabin_T,Title_Master,Title_Miss,Title_Mr,Title_Mrs,Title_Officer,Title_Royalty,Survived
1,3,2,22.0,1,0,139,7.25,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2,1,1,38.0,1,0,154,71.2833,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
3,3,1,26.0,0,0,165,7.925,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
4,1,1,35.0,1,0,3,53.1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
5,3,2,35.0,0,0,108,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6,3,2,26.0,0,0,81,8.4583,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7,1,2,54.0,0,0,20,51.8625,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
8,3,2,2.0,3,1,92,21.075,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
9,3,1,27.0,0,2,90,11.1333,3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
10,2,1,14.0,1,0,43,30.0708,2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
11,3,1,4.0,1,1,155,16.7,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
12,1,1,58.0,0,0,3,26.55,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
13,3,2,20.0,0,0,139,8.05,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
14,3,2,39.0,1,5,90,31.275,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
15,3,1,14.0,0,0,93,7.8542,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
16,2,1,55.0,0,0,50,16.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
17,3,2,2.0,4,1,111,29.125,6,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
18,2,2,30.0,0,0,49,13.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
19,3,1,31.0,1,0,88,18.0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
20,3,1,31.0,0,0,55,7.225,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
21,2,2,35.0,0,0,44,26.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
22,2,2,34.0,0,0,50,13.0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
23,3,1,15.0,0,0,81,8.0292,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
24,1,2,28.0,0,0,3,35.5,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25,3,1,8.0,3,1,92,21.075,5,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
26,3,1,38.0,1,5,90,31.3875,7,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
27,3,2,26.0,0,0,54,7.225,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
